Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17
IR-C-C-6355,Miranda House,Delhi,Delhi,75.42,1.0,76.75,59.21,82.67,70.96,80.66,77.23,1.0,79.15,58.22,85.65,76.4,77.87,73.72,1.0,77.45,39.24,88.35,75.9,71.74,71.0,1,77.7,29.78,85.32,73.21,68.02,69.39,1.0,75.76,27.44,90.06,96.45,41.82
IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,69.44,2.0,71.09,14.56,91.4,69.46,90.17,72.08,2.0,74.77,10.88,95.54,75.11,91.38,66.71,5.0,70.51,5.19,93.81,61.55,81.24,63.53,8,71.62,3.75,81.94,71.25,66.99,58.28,7.0,68.35,1.96,71.44,92.38,56.72
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,69.28,3.0,66.45,97.77,53.62,46.25,100.0,68.03,6.0,64.59,91.7,54.97,47.02,100.0,66.31,6.0,64.83,83.36,52.89,46.65,100.0,66.06,6,67.45,82.3,48.47,46.23,100.0,68.68,2.0,66.92,100.0,48.42,56.45,80.45
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,67.41,4.0,68.05,46.65,78.3,55.47,80.66,67.59,7.0,66.43,40.28,82.69,55.81,87.26,64.5,10.0,62.63,35.32,79.59,55.31,87.17,58.45,17,56.16,28.97,75.15,54.15,74.38,59.12,6.0,64.23,36.86,74.17,56.32,54.92
IR-C-C-33555,St. Xavier`s College,Mumbai,Maharashtra,,,,,,,,51.14,90.0,52.65,12.07,68.39,57.38,54.26,49.34,96.0,51.79,9.31,64.98,56.16,53.57,47.81,74,51.56,7.47,59.3,52.16,60.27,,,,,,,
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,67.26,5.0,77.69,54.97,85.19,28.91,37.47,67.59,7.0,79.96,37.48,91.42,29.09,42.3,64.35,11.0,81.04,13.99,92.26,17.29,50.41,62.79,9,84.98,8.89,86.08,13.29,46.23,,,,,,,
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,67.14,6.0,74.48,38.88,81.34,61.09,50.71,66.63,10.0,74.29,33.44,84.24,62.39,45.89,59.77,22.0,62.37,27.11,80.72,59.52,46.23,59.39,16,66.63,21.1,72.84,60.93,52.83,53.97,14.0,68.11,15.64,70.73,63.13,32.56
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,66.96,7.0,70.12,93.42,54.59,50.79,61.66,68.89,5.0,73.11,95.83,53.31,50.49,69.02,68.01,3.0,77.49,98.02,46.4,50.56,56.5,66.21,5,81.82,99.27,35.54,31.59,65.52,35.23,96.0,38.21,1.76,52.67,54.98,20.02
IR-C-C-22470,St. Stephens's College,Delhi,Delhi,66.71,8.0,76.4,23.23,66.75,64.04,95.84,69.67,4.0,77.03,24.86,73.89,68.8,97.78,67.55,4.0,75.11,14.06,76.98,68.71,92.87,70.77,2,79.35,16.36,94.66,68.35,60.75,,,,,,,
IR-C-C-6377,Hindu College,Delhi,Delhi,66.51,9.0,70.04,25.57,78.98,69.25,79.69,70.44,3.0,72.43,27.41,86.77,75.03,81.68,70.57,2.0,73.74,26.63,89.78,74.77,71.46,67.46,4,74.76,25.74,86.9,71.79,47.9,,,,,,,
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,66.39,10.0,72.46,2.93,89.76,77.24,68.06,66.29,12.0,72.84,0.9,88.69,76.76,71.69,64.94,7.0,70.16,0.98,90.07,74.62,67.46,63.98,7,72.17,0.62,83.48,61.78,79.74,67.18,3.0,77.63,0.2,97.51,93.8,53.98
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,66.24,11.0,76.42,51.39,73.09,62.84,34.11,66.04,14.0,78.78,43.05,73.17,68.06,29.73,61.28,19.0,74.16,31.67,69.41,64.52,30.75,56.62,24,71.94,28.47,60.39,64.04,20.72,,,,,,,
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,66.17,12.0,78.38,49.99,77.19,64.95,15.29,66.15,13.0,78.96,41.52,77.86,71.19,17.46,63.55,14.0,78.2,29.19,77.3,69.58,16.06,59.55,14,78.43,24.3,64.94,63.62,19.45,60.68,5.0,74.22,30.54,79.6,82.51,0.21
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,64.9,13.0,75.86,52.12,67.16,61.54,38.0,65.32,15.0,77.48,46.89,69.61,65.87,33.13,62.66,16.0,77.2,37.75,66.25,66.83,28.83,59.76,13,76.83,26.52,57.12,72.25,35.39,58.06,9.0,80.06,32.26,55.35,85.46,9.25
IR-C-C-6425,Hans Raj College,Delhi,Delhi,64.65,14.0,67.94,28.64,78.43,72.0,63.71,67.23,9.0,70.86,23.84,82.07,77.29,70.57,64.65,9.0,69.76,17.4,83.27,77.13,56.09,57.19,21,70.78,12.58,64.7,66.57,41.54,,,,,,,
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,64.45,15.0,76.11,28.58,94.91,27.54,32.33,66.58,11.0,76.93,25.59,98.76,27.27,45.54,64.76,8.0,77.04,24.31,98.51,26.97,29.61,53.95,29,67.37,20.71,80.24,21.55,16.77,38.29,78.0,47.01,17.82,49.47,42.55,18.81
IR-C-C-6429,Gargi College,Delhi,Delhi,64.37,16.0,77.3,19.07,82.26,67.34,32.93,64.53,16.0,78.61,13.75,81.26,70.78,36.27,64.11,12.0,77.54,9.94,87.16,70.14,28.04,59.46,15,77.1,9.0,76.46,67.6,13.91,,,,,,,
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,64.3,17.0,78.06,40.51,69.29,66.96,29.82,62.58,19.0,74.4,35.39,66.93,70.67,37.12,61.67,18.0,77.38,27.81,64.6,69.98,33.99,57.32,20,72.98,26.5,59.07,70.69,23.16,,,,,,,
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,63.9,18.0,71.5,52.27,59.45,53.51,72.46,64.36,17.0,73.43,42.79,65.28,52.3,70.18,63.98,13.0,73.79,33.19,64.73,57.11,75.88,60.74,10,74.43,27.21,58.68,46.59,75.57,55.44,12.0,74.34,26.16,52.96,63.31,51.7
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,62.93,19.0,65.2,40.07,70.32,51.94,80.66,60.74,25.0,60.37,40.51,73.95,51.98,68.22,62.42,17.0,61.75,39.44,74.99,52.46,77.99,60.34,11,61.65,38.37,65.94,51.89,82.4,55.64,11.0,55.73,37.26,72.04,60.58,43.72
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,62.85,20.0,80.49,31.1,70.82,57.83,25.04,63.1,18.0,81.75,20.99,75.77,66.26,16.77,58.42,24.0,77.94,12.73,65.48,69.46,20.13,55.99,27,82.74,10.49,53.44,69.65,10.04,51.06,20.0,73.43,7.07,55.5,87.62,6.13
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.5,21.0,76.03,31.84,80.7,28.41,43.0,62.36,20.0,74.01,25.8,86.23,26.12,47.24,63.53,15.0,73.31,25.81,88.62,28.82,53.13,52.71,40,74.91,27.05,47.3,15.58,53.12,,,,,,,
IR-C-C-16178,P. D. Patel Institute of Applied Sciences,Changa,Gujarat,61.19,22.0,69.48,85.09,61.4,50.3,2.56,61.01,24.0,69.83,70.61,68.62,50.31,2.99,58.29,26.0,70.13,55.09,71.19,40.26,1.54,51.17,48,67.55,39.92,52.27,46.02,4.87,,,,,,,
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,60.61,23.0,66.45,67.8,64.64,53.35,23.56,61.29,22.0,64.55,63.75,67.57,53.85,36.27,57.11,34.0,60.63,55.71,66.3,48.48,30.75,51.93,44,61.85,33.16,56.7,41.19,39.19,,,,,,,
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,60.11,24.0,71.33,33.19,69.77,59.28,32.33,58.25,32.0,61.21,26.83,80.42,62.48,34.05,60.53,21.0,75.46,18.77,72.35,62.9,31.49,60.04,12,81.2,14.73,68.87,47.32,34.05,,,,,,,
IR-C-C-43671,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,59.58,25.0,75.09,31.83,70.63,56.68,14.37,61.08,23.0,75.74,30.22,77.15,54.24,15.37,59.37,23.0,73.6,20.35,79.06,53.62,17.63,57.51,18,75.58,16.82,71.68,48.35,20.09,,,,,,,
IR-C-C-6367,Daulat Ram College,Delhi,Delhi,59.22,26.0,68.46,8.28,82.73,70.0,29.17,60.4,26.0,70.94,7.1,85.1,72.61,24.33,55.29,37.0,63.11,5.27,87.45,49.32,24.7,,,,,,,,,,,,,,
IR-C-C-41126,Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,59.09,27.0,70.14,6.92,85.83,62.52,22.81,58.56,29.0,67.18,4.32,89.33,63.91,23.16,52.73,53.0,57.24,4.75,86.5,59.6,15.53,48.75,64,56.69,3.69,75.34,53.55,13.17,50.8,22.0,51.15,3.06,77.56,72.48,45.93
IR-C-C-35860,"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,59.09,27.0,66.72,47.17,64.61,46.08,45.73,58.27,31.0,64.14,43.88,65.15,44.31,53.12,54.7,39.0,61.85,36.07,61.43,42.01,49.94,54.41,28,62.67,32.48,55.65,38.2,67.41,,,,,,,
IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,58.98,29.0,75.38,26.52,70.81,60.02,11.47,62.2,21.0,78.17,30.18,75.21,60.62,15.37,60.77,20.0,78.17,25.65,71.39,63.04,14.98,56.43,25,77.39,19.85,63.37,57.33,9.22,58.22,8.0,87.03,23.46,55.26,78.67,17.95
IR-C-C-43964,Madras School of Social Work,Chennai,Tamil Nadu,58.59,30.0,70.7,1.75,89.2,63.14,14.37,57.99,33.0,66.84,0.94,91.98,67.97,13.17,51.8,65.0,65.3,0.34,75.71,53.07,13.87,50.57,49,69.13,0.77,64.74,43.03,23.16,,,,,,,
