Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,78.06,1.0,78.19,55.62,83.92,74.74,100.0,78.66,1.0,84.3,41.07,85.13,75.03,100.0,77.21,1.0,85.16,38.77,78.96,76.02,100.0
IR-L-U-0111,National Law University,New Delhi,Delhi,74.55,2.0,87.68,42.81,73.02,74.16,73.82,74.02,2.0,90.73,45.21,67.77,74.67,65.36,76.23,2.0,92.3,52.69,66.34,73.12,75.2
IR-L-N-18,NALSAR University of Law,Hyderabad,Telangana,72.39,3.0,82.73,47.6,71.6,72.6,70.01,73.12,3.0,83.28,39.74,77.73,73.22,70.96,74.61,3.0,84.3,38.49,83.37,72.57,70.2
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,71.24,4.0,75.74,31.89,86.36,71.94,73.82,63.32,6.0,70.52,35.19,68.59,69.75,57.09,65.39,5.0,73.61,35.25,68.16,69.34,66.89
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.09,5.0,77.7,77.46,70.12,69.73,38.85,71.44,4.0,81.0,73.78,69.16,67.68,39.07,69.81,4.0,78.37,73.22,65.42,64.6,46.57
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,65.18,6.0,73.56,42.27,69.07,68.4,53.0,60.78,7.0,69.67,35.83,68.56,67.92,36.15,58.64,9.0,69.79,22.62,66.9,70.2,35.98
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,64.67,7.0,70.55,34.99,73.52,72.29,55.9,57.93,9.0,59.24,35.0,72.2,76.31,33.01,59.49,8.0,62.15,51.04,64.4,72.66,35.98
IR-L-U-0414,"National Law University, Jodhpur",Jodhpur,Rajasthan,63.41,8.0,75.28,29.82,74.02,64.42,38.85,64.29,5.0,74.48,26.85,78.05,65.16,44.35,63.94,6.0,71.62,34.27,77.92,66.17,40.55
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,61.49,9.0,73.61,18.82,63.89,76.74,55.9,59.54,8.0,72.0,16.72,67.48,77.47,36.15,60.68,7.0,61.86,17.19,81.93,76.91,51.84
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,57.28,10.0,78.4,26.53,54.3,74.08,9.52,52.83,12.0,76.11,27.06,39.66,71.84,12.36,52.96,12.0,77.73,23.83,35.46,63.42,30.86
IR-L-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,55.96,11.0,55.23,23.67,90.06,48.72,29.44,52.28,13.0,46.95,26.48,91.05,34.7,33.01,,,,,,,
IR-L-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,55.92,12.0,59.68,32.56,72.96,50.39,38.85,,,,,,,,,,,,,,
IR-L-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,55.19,13.0,70.38,45.02,51.48,56.89,17.26,,,,,,,,,,,,,,
IR-L-U-0285,"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,52.89,14.0,59.21,25.95,62.01,59.28,38.85,49.6,17.0,54.39,24.98,58.53,55.54,39.07,53.41,11.0,58.83,24.95,61.67,56.95,50.15
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,51.44,15.0,59.53,2.6,74.08,48.34,38.85,53.57,11.0,62.79,2.46,78.65,48.12,36.15,52.39,14.0,65.54,0.0,79.41,48.8,14.36
IR-L-U-0386,"The Rajiv Gandhi National University of Law, Patiala",Patiala,Punjab,50.98,16.0,56.13,27.41,50.38,71.78,46.52,54.19,10.0,62.14,29.23,59.13,72.22,29.62,55.53,10.0,63.31,29.01,60.35,71.75,35.98
IR-L-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,50.4,17.0,56.44,34.37,59.69,53.58,23.79,,,,,,,,,,,,,,
IR-L-U-0358,National Law University,Cuttack,Odisha,50.31,18.0,60.72,13.12,49.79,60.05,55.9,51.94,14.0,63.82,22.69,49.13,60.51,46.76,,,,,,,
IR-L-U-0217,Christ University,Bengaluru,Karnataka,49.78,19.0,50.33,29.62,52.91,63.9,55.9,48.01,20.0,50.51,18.36,54.32,65.82,49.04,,,,,,,
