Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.69,1.0,91.41,65.09,99.43,70.01,98.53,82.75,1.0,92.87,63.06,98.46,66.78,95.99,80.61,2.0,90.74,57.76,98.1,68.12,96.32,79.18,1.0,90.82,53.89,97.25,63.26,99.87,78.96,1.0,90.71,51.44,90.36,85.77,96.73,89.91,2.0,90.2,91.35,89.73,80.63,99.0
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,83.48,2.0,91.53,63.43,98.99,71.88,100.0,81.32,2.0,91.46,57.43,98.48,69.45,100.0,81.34,1.0,92.85,55.03,98.35,73.09,100.0,77.33,2.0,84.71,51.19,97.95,69.65,100.0,78.82,2.0,84.48,62.56,91.33,87.05,77.37,93.04,1.0,96.18,94.05,90.1,86.61,95.0
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,80.04,3.0,87.33,58.14,98.1,72.9,94.87,80.39,3.0,90.68,56.79,97.18,71.85,95.26,79.05,3.0,90.14,54.16,96.07,71.52,94.02,77.08,3.0,90.68,53.26,96.41,66.63,79.46,76.6,3.0,90.96,48.43,98.27,80.66,70.61,87.45,3.0,82.34,93.38,89.44,79.25,94.0
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,73.34,4.0,81.37,52.04,95.38,68.28,74.1,69.96,6.0,81.27,44.07,94.41,63.24,71.63,64.82,8.0,80.83,31.43,93.89,54.39,69.22,65.21,6.0,81.02,33.89,94.61,51.18,66.86,65.41,5.0,79.51,36.43,89.49,77.49,49.85,81.97,6.0,74.62,88.81,87.15,69.6,94.0
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,72.15,5.0,67.47,76.71,86.18,59.33,57.31,67.19,8.0,58.85,72.08,81.33,62.55,53.97,62.89,9.0,58.57,66.99,71.84,65.12,43.37,63.31,8.0,57.83,80.25,63.8,61.98,29.19,64.51,6.0,57.81,83.82,69.82,58.59,22.0,,,,,,,
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,71.1,6.0,81.54,50.74,93.98,66.29,59.91,69.04,7.0,83.18,43.42,93.74,67.49,55.67,67.01,5.0,83.11,37.44,93.21,70.21,51.93,60.28,11.0,68.97,33.51,93.61,59.3,48.94,59.59,10.0,66.15,32.09,88.02,84.78,40.28,78.62,10.0,69.39,83.9,87.02,66.8,96.0
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,71.02,7.0,84.54,41.12,94.84,68.06,75.51,73.85,4.0,86.93,48.58,93.71,71.35,73.17,67.29,4.0,85.37,34.53,93.01,57.55,69.57,68.63,4.0,83.98,39.15,94.76,60.51,67.01,71.58,4.0,84.81,45.72,90.61,88.72,54.34,86.12,4.0,82.22,88.52,89.37,79.32,96.0
IR-M-S-132,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,69.93,8.0,87.8,39.37,98.38,67.33,53.66,67.11,9.0,87.81,31.6,98.15,64.0,52.64,65.33,7.0,87.21,28.94,98.07,62.24,46.56,,,,,,,,61.08,9.0,84.78,23.89,91.33,57.88,44.24,,,,,,,
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,69.5,9.0,62.46,75.87,90.66,51.02,47.68,70.43,5.0,63.67,72.34,89.66,68.45,48.63,66.64,6.0,57.85,67.03,87.58,71.1,45.52,63.36,7.0,59.83,75.11,76.82,55.96,19.19,63.12,7.0,54.56,70.62,82.38,71.74,19.15,,,,,,,
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,68.08,10.0,86.23,49.98,85.26,57.51,44.16,65.76,11.0,74.93,51.74,86.46,59.65,45.02,62.74,10.0,62.77,54.34,88.26,56.18,43.37,66.8,5.0,66.85,71.74,88.54,45.91,29.19,,,,,,,,,,,,,,
