Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19
IR-D-N-15,All India Institute of Medical Sciences,New Delhi,Delhi,92.07,1.0,89.94,97.16,93.5,72.36,100.0,90.69,1.0,92.69,96.57,83.25,72.56,100.0,87.52,1.0,91.81,96.18,66.91,77.43,100.0
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,82.62,2.0,83.23,86.31,88.27,64.4,76.73,80.06,2.0,81.14,82.46,86.16,66.08,71.44,77.88,2.0,78.6,84.47,76.99,70.74,64.87
IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,75.33,3.0,85.48,51.55,94.12,62.43,91.63,73.56,3.0,82.96,46.37,97.02,64.2,89.35,70.32,3.0,81.92,49.27,75.52,65.89,92.74
IR-D-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bangalore,Karnataka,73.62,4.0,85.47,62.17,79.91,66.44,67.12,71.35,4.0,87.05,59.18,78.39,58.07,59.8,,,,,,,
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,72.45,5.0,86.22,57.9,88.19,60.36,55.43,70.21,5.0,83.18,58.05,90.81,51.24,45.59,64.16,4.0,74.88,57.16,79.65,46.08,40.11
IR-D-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,69.25,6.0,77.82,53.22,87.03,74.47,50.67,64.39,7.0,75.74,44.82,84.59,70.59,42.39,62.84,5.0,75.62,43.15,73.16,74.49,51.33
IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,67.62,7.0,73.35,57.84,84.13,64.98,49.27,64.72,6.0,72.09,52.73,89.09,57.44,37.07,61.66,6.0,70.57,50.95,76.45,55.29,43.8
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,67.42,8.0,74.63,41.18,88.57,68.14,81.59,63.17,8.0,75.64,38.35,71.93,69.55,76.32,61.38,8.0,73.83,38.52,64.88,65.74,81.15
IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,64.67,9.0,76.68,48.87,86.28,51.66,45.82,62.2,10.0,74.03,44.22,90.23,43.53,43.21,58.53,10.0,71.17,42.55,73.14,53.54,44.39
IR-D-C-7242,"Kasturba Medical College, Manipal",Manipal,Karnataka,63.6,10.0,70.54,41.91,79.04,72.64,68.04,62.84,9.0,67.41,39.78,84.42,72.01,66.14,61.4,7.0,67.41,41.11,73.69,73.81,67.29
IR-D-U-0266,Sree Chitra Tirunal Institute for Medical Sciences and Technology,Thiruvananthapuram,Kerala,63.04,11.0,74.66,43.36,79.2,63.72,54.19,,,,,,,,,,,,,,
IR-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,61.29,12.0,89.45,36.8,69.96,59.55,34.67,61.58,11.0,88.82,34.6,77.57,58.31,32.06,59.8,9.0,89.46,36.88,69.96,57.15,21.81
IR-D-C-40453,St. John's Medical College,Bengaluru,Karnataka,60.83,13.0,75.51,35.97,80.2,66.22,47.33,57.83,14.0,72.22,29.16,84.98,65.68,38.47,56.68,12.0,73.09,27.53,74.14,67.29,49.32
IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,58.92,14.0,71.45,29.87,82.45,68.71,51.58,57.9,13.0,72.29,27.29,83.3,66.91,46.73,58.45,11.0,71.36,31.45,81.19,62.29,51.33
IR-D-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.1,15.0,70.49,44.24,79.57,58.31,19.41,56.22,15.0,66.9,37.56,87.0,56.48,18.3,55.79,13.0,67.26,38.1,84.24,59.8,13.55
IR-D-C-49008,"Madras Medical College & Government General Hospital, Chennai",Chennai,Tamil Nadu,57.88,16.0,75.61,17.41,87.95,48.39,75.49,58.84,12.0,72.68,17.49,98.06,55.61,66.14,,,,,,,
IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,56.35,17.0,72.28,25.27,83.06,55.08,49.74,55.31,17.0,69.43,26.43,80.4,55.08,49.62,54.01,14.0,69.71,28.99,72.86,53.87,44.39
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,56.2,18.0,78.22,27.53,82.46,62.44,17.42,56.12,16.0,74.25,25.25,89.28,59.03,25.12,50.19,19.0,71.64,27.66,64.68,57.5,17.05
IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,55.96,19.0,73.48,28.23,76.95,68.65,31.89,52.05,24.0,71.73,20.49,78.6,69.79,16.8,49.81,20.0,71.5,17.1,70.9,71.31,19.23
IR-D-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,55.74,20.0,72.19,34.12,70.72,60.37,36.64,49.06,31.0,68.9,28.13,61.8,59.9,16.02,49.14,22.0,65.24,27.59,66.91,56.81,22.3
IR-D-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,54.13,21.0,72.33,32.36,71.36,65.07,19.41,52.72,23.0,71.83,18.65,83.4,63.2,25.75,49.57,21.0,69.71,16.55,70.5,64.65,31.16
IR-D-C-22461,Lady Hardinge Medical College,New Delhi,Delhi,54.07,22.0,76.27,22.42,75.87,49.83,43.16,,,,,,,,,,,,,,
IR-D-C-7251,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,53.75,23.0,71.31,23.06,73.68,71.72,35.34,53.83,21.0,66.91,21.12,82.32,69.77,39.81,51.23,16.0,65.74,22.21,70.05,70.65,37.79
IR-D-C-35009,"JSS Medical College, Mysore",Mysore,Karnataka,53.63,24.0,69.16,19.74,77.3,68.72,46.33,54.32,20.0,67.75,18.25,85.8,68.37,45.2,50.58,17.0,68.72,19.01,68.14,71.3,34.97
IR-D-U-0107,Jamia Hamdard,New Delhi,Delhi,53.18,25.0,68.65,40.99,54.28,69.44,24.85,52.87,22.0,65.91,41.49,60.0,68.94,17.55,51.7,15.0,66.4,42.67,48.86,72.3,19.76
IR-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,53.13,26.0,79.52,16.52,82.15,54.76,24.0,51.74,26.0,77.05,15.27,87.32,53.0,12.77,48.0,24.0,76.81,16.78,67.61,55.02,9.05
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.91,27.0,69.61,39.82,59.5,66.53,15.33,46.49,34.0,69.69,20.51,58.0,66.4,11.91,47.41,25.0,69.01,16.02,69.72,66.09,13.55
IR-D-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,52.87,28.0,74.31,33.58,61.61,61.4,20.37,,,,,,,,,,,,,,
IR-D-C-29442,Government Medical College & Hospital,Chandigarh,Chandigarh,51.9,29.0,69.66,23.4,77.0,59.33,26.52,52.01,25.0,69.66,19.06,84.0,58.92,26.97,,,,,,,
IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,51.89,30.0,59.53,34.42,75.71,59.96,25.7,55.0,19.0,65.59,37.94,74.63,61.41,28.73,48.69,23.0,65.24,39.99,44.43,55.84,26.52
IR-D-U-0688,All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,51.87,31.0,70.63,22.33,64.3,65.41,45.82,,,,,,,,,,,,,,
IR-D-C-16424,Medical College,Kolkata,West Bengal,51.69,32.0,67.74,15.27,86.66,42.96,51.58,,,,,,,,,,,,,,
IR-D-C-45515,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu,51.62,33.0,73.22,10.01,73.93,62.4,56.24,50.44,27.0,72.58,8.0,79.75,62.86,40.25,,,,,,,
IR-D-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,51.52,34.0,73.5,19.76,74.77,72.82,13.14,50.21,29.0,70.47,15.11,82.59,68.35,11.91,,,,,,,
IR-D-U-0168,Maharishi Markandeshwar,Ambala,Haryana,50.96,35.0,71.08,19.32,76.23,62.76,23.12,48.13,33.0,68.99,16.49,69.8,61.98,23.19,,,,,,,
