Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.76,1.0,85.61,92.51,86.32,63.57,97.13,85.31,1.0,81.86,90.67,88.26,62.78,96.16,83.88,1.0,84.56,83.53,87.13,66.08,94.14,81.39,2.0,82.49,81.42,85.36,64.81,86.61,73.97,2.0,69.49,72.6,84.02,76.75,68.7
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,2.0,79.13,91.48,78.23,58.39,100.0,84.18,2.0,82.22,92.16,82.89,52.84,100.0,82.28,2.0,83.16,89.24,78.57,48.47,100.0,82.16,1.0,84.54,91.08,75.48,43.7,100.0,,,,,,,
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,82.52,3.0,83.52,87.81,80.86,57.48,91.96,80.75,4.0,79.32,86.46,82.48,54.14,90.97,78.62,4.0,76.95,84.36,82.31,50.68,86.92,79.2,3.0,81.34,85.59,81.53,48.53,79.61,71.78,3.0,64.68,78.14,70.07,65.8,83.44
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,81.75,4.0,84.02,84.46,75.07,67.97,93.89,81.33,3.0,80.59,87.16,77.18,66.41,89.17,78.69,3.0,78.3,82.98,79.14,58.58,86.14,73.97,4.0,73.38,78.67,74.91,60.96,72.79,64.18,5.0,55.45,68.48,65.92,68.69,69.53
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,76.5,5.0,80.5,75.23,80.74,56.97,79.3,74.99,6.0,75.64,74.76,81.87,55.61,79.43,69.07,6.0,71.95,69.61,69.96,50.39,75.68,65.39,7.0,71.71,68.63,62.76,39.81,67.59,60.69,7.0,60.07,62.14,58.34,60.01,63.62
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,75.62,6.0,74.25,76.23,83.23,55.35,82.92,75.85,5.0,68.6,79.73,86.12,59.07,82.21,74.31,5.0,67.36,76.65,86.17,60.63,78.11,71.39,5.0,67.96,74.57,83.99,56.16,62.12,68.43,4.0,55.07,70.46,85.11,72.85,64.72
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.4,7.0,76.68,68.37,83.16,65.31,47.28,68.48,9.0,68.29,67.0,85.21,64.29,44.17,67.68,8.0,67.32,65.08,87.14,61.64,43.66,64.93,8.0,65.88,61.59,85.29,58.65,37.56,59.84,9.0,52.24,56.6,83.38,72.7,32.38
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.26,8.0,73.75,66.25,81.26,62.95,47.04,68.81,7.0,74.06,63.55,81.85,62.35,49.09,65.47,9.0,76.79,56.58,73.87,60.63,46.34,60.16,12.0,79.25,52.13,63.2,52.97,28.01,60.37,8.0,65.53,47.46,78.28,79.28,28.79
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,66.61,9.0,71.19,44.96,95.07,73.36,54.12,68.76,8.0,74.98,44.8,100.0,75.1,53.19,68.68,7.0,76.75,41.85,99.87,75.87,55.27,67.57,6.0,74.71,42.6,99.12,79.32,46.28,61.53,6.0,62.11,33.96,98.71,82.4,47.27
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.1,10.0,64.5,45.0,100.0,53.13,49.38,62.03,10.0,70.91,44.89,85.65,58.76,42.84,64.55,10.0,69.72,46.48,96.37,57.01,47.28,63.52,9.0,65.15,50.76,95.42,53.13,43.62,58.92,10.0,47.85,49.96,94.36,62.97,44.01
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.45,11.0,66.2,43.92,91.72,60.98,39.68,61.01,11.0,59.26,48.58,91.03,61.66,42.84,60.87,12.0,62.26,47.1,91.54,60.14,37.39,53.38,21.0,45.47,50.26,86.81,46.72,26.3,48.9,27.0,36.34,44.1,95.76,39.02,17.15
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.87,12.0,64.23,54.33,71.35,65.54,34.8,60.74,13.0,69.65,52.11,73.66,65.83,29.04,59.22,15.0,73.03,43.77,70.28,70.23,31.01,58.46,15.0,74.05,43.56,71.03,58.27,31.44,54.7,16.0,62.9,39.49,65.77,82.17,26.12
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.54,13.0,66.44,43.43,86.67,72.35,20.25,59.85,16.0,71.35,38.3,88.52,73.05,19.43,58.07,19.0,73.74,32.04,88.53,71.97,14.26,56.18,19.0,72.33,33.21,82.27,68.86,11.76,51.75,20.0,58.98,27.99,81.63,83.55,9.73
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,58.93,14.0,51.7,51.72,87.77,50.16,53.3,60.77,12.0,53.38,52.96,90.39,48.67,59.2,60.53,13.0,54.4,54.89,90.28,44.95,51.83,59.68,13.0,57.08,57.07,91.39,36.0,35.5,57.32,12.0,48.64,54.09,91.42,53.37,28.81
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.91,15.0,67.68,48.17,76.05,65.25,24.18,59.96,14.0,75.44,42.62,75.36,66.21,28.5,58.5,16.0,77.91,38.31,69.71,66.78,30.21,57.37,18.0,76.05,44.15,61.29,64.23,26.3,,,,,,,
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,58.53,16.0,61.4,52.64,67.51,58.59,49.61,59.59,17.0,69.97,48.99,66.96,58.36,46.7,56.92,22.0,70.91,40.82,67.47,58.77,40.33,53.07,22.0,71.72,35.33,65.12,57.08,22.15,49.07,26.0,63.51,28.02,62.91,72.21,18.06
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,57.67,17.0,69.59,40.74,77.44,58.72,32.13,59.92,15.0,71.15,42.93,81.18,54.01,40.46,61.85,11.0,74.81,43.78,83.64,58.77,36.71,60.54,11.0,74.36,45.34,84.45,55.71,21.66,56.3,14.0,57.3,42.77,78.79,78.13,27.06
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.38,18.0,69.06,40.86,80.06,56.93,27.0,52.54,31.0,70.97,40.78,55.7,57.39,21.41,58.36,18.0,76.69,35.38,85.67,57.56,18.46,57.78,17.0,70.28,36.87,90.56,49.03,26.3,52.74,19.0,58.56,36.2,87.43,51.55,16.62
IR-O-U-0120,University of Delhi,Delhi,Delhi,56.03,19.0,42.65,54.23,82.66,59.6,44.81,58.97,18.0,50.18,55.4,85.21,60.37,42.06,57.59,20.0,47.87,53.79,87.18,55.4,41.11,58.69,14.0,52.52,58.16,85.14,51.26,33.15,55.37,15.0,43.48,56.61,82.06,58.6,30.76
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.83,20.0,62.95,42.77,86.96,50.92,16.41,58.77,19.0,67.66,45.48,85.36,56.22,21.41,58.4,17.0,69.26,44.42,86.04,54.34,16.55,58.24,16.0,70.7,43.64,84.55,55.29,15.04,52.81,18.0,56.39,35.03,85.13,72.26,11.2
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,55.39,21.0,48.43,56.83,69.94,59.38,38.8,53.89,28.0,48.71,54.82,67.26,58.15,35.72,51.44,32.0,48.7,47.63,66.55,57.02,35.31,52.68,24.0,50.3,47.42,68.43,60.02,36.71,51.36,22.0,41.65,42.87,75.57,75.99,32.95
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.38,22.0,61.79,47.45,74.17,53.21,24.6,57.32,21.0,67.47,46.47,75.58,52.82,27.4,57.23,21.0,66.93,45.04,76.53,52.11,31.2,55.08,20.0,65.54,41.7,76.95,52.63,22.63,44.29,45.0,45.67,35.58,63.73,62.6,9.11
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,54.97,23.0,52.39,44.58,71.79,63.34,51.82,55.92,24.0,60.37,40.88,71.62,64.09,48.08,54.32,24.0,61.25,34.72,70.89,62.89,50.61,51.38,31.0,57.09,34.41,69.99,60.81,38.55,46.57,34.0,44.43,31.32,71.92,73.68,20.92
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,54.47,24.0,67.24,45.58,59.31,58.75,28.91,55.43,25.0,69.95,45.05,59.67,60.47,29.58,54.48,23.0,70.53,42.05,57.13,60.11,32.75,51.04,32.0,66.57,33.04,61.4,62.86,25.85,,,,,,,
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.42,25.0,51.91,43.09,73.11,51.35,61.72,58.1,20.0,56.0,48.61,77.49,52.37,59.85,60.35,14.0,56.39,54.1,78.07,53.16,62.72,62.82,10.0,57.31,60.76,79.15,52.55,63.22,56.5,13.0,46.25,54.58,79.31,60.01,43.94
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.88,26.0,48.18,56.64,71.16,55.15,27.0,56.05,22.0,52.15,55.69,76.38,56.13,27.95,53.4,25.0,54.72,50.98,76.0,39.42,25.54,52.04,27.0,54.46,44.24,74.36,61.08,14.46,43.21,53.0,40.04,34.27,67.12,67.08,7.88
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,53.76,27.0,50.05,55.82,75.96,46.07,22.04,51.7,34.0,51.99,48.02,75.33,46.08,20.1,52.62,27.0,54.67,48.4,72.61,51.49,20.28,51.39,30.0,53.82,48.52,69.18,52.55,15.9,44.95,41.0,41.33,36.82,69.31,55.73,20.69
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,53.74,28.0,55.87,47.41,69.88,56.69,31.08,54.82,26.0,63.03,42.97,67.68,57.09,37.73,52.49,28.0,62.09,39.44,68.32,54.48,29.2,51.85,28.0,57.85,48.53,67.0,42.5,22.87,41.37,70.0,42.85,19.35,72.56,57.89,23.96
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,53.32,29.0,55.81,43.13,72.05,59.5,32.81,54.13,27.0,62.76,40.72,72.48,60.97,24.81,50.53,39.0,56.68,34.14,73.06,52.26,34.41,52.15,26.0,61.02,35.56,69.33,57.73,35.32,51.46,21.0,54.83,31.26,73.88,58.5,49.96
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,53.22,30.0,57.51,49.25,69.71,56.59,15.91,55.94,23.0,69.47,47.56,69.7,58.93,10.0,,,,,,,,,,,,,,,50.23,24.0,65.42,32.43,63.5,74.58,7.17
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,52.89,31.0,72.76,32.92,62.05,63.88,23.76,50.92,39.0,69.21,31.54,63.27,60.45,20.1,,,,,,,,,,,,,,,47.84,32.0,66.25,24.68,62.91,75.73,4.07
