Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-P-U-0107,Jamia Hamdard,New Delhi,Delhi,78.52,1.0,75.03,82.33,82.36,57.63,90.75,80.5,1.0,78.18,85.18,80.85,57.65,95.7,78.43,1.0,72.99,90.7,76.64,53.42,86.49,77.17,2,69.51,85.63,84.91,52.57,83.87,73.64,1.0,62.25,90.03,85.45,59.05,49.7,71.38,3.0,69.57,85.77,70.37,45.52,74.0
IR-P-U-0078,Panjab University,Chandigarh,Chandigarh,77.99,2.0,76.44,80.63,77.42,73.07,80.78,79.8,2.0,76.05,83.43,76.47,71.53,95.05,78.1,2.0,71.04,88.14,72.91,71.22,86.49,76.5,3,72.85,82.97,81.05,63.93,71.54,,,,,,,,,,,,,,
IR-P-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,75.57,3.0,90.02,61.69,81.75,70.71,66.33,72.95,6.0,88.39,60.82,74.71,67.95,64.47,69.09,5.0,79.85,60.57,66.76,68.53,67.6,71.92,5,76.45,64.98,74.66,71.02,74.72,64.79,6.0,69.09,57.7,75.2,55.81,61.34,,,,,,,
IR-P-U-0380,National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,74.52,4.0,77.38,61.47,81.56,65.54,100.0,74.73,3.0,79.78,61.99,79.53,62.88,100.0,74.59,3.0,73.5,69.0,82.27,59.19,94.74,78.2,1,76.32,78.13,81.25,57.18,98.87,73.18,2.0,71.97,80.91,69.53,70.26,63.84,,,,,,,
IR-P-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,74.18,5.0,80.79,66.1,84.0,52.33,80.78,74.5,4.0,79.12,65.11,86.13,53.79,86.32,74.32,4.0,78.95,69.55,82.04,58.48,75.22,73.69,4,77.9,71.2,78.92,56.12,75.73,65.67,4.0,75.12,64.44,65.19,60.6,46.98,,,,,,,
IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,74.08,6.0,79.55,58.82,89.96,71.06,74.72,73.81,5.0,81.75,57.7,87.19,65.18,80.23,68.29,6.0,79.95,55.53,83.48,65.19,44.17,67.68,6,80.14,58.75,76.38,56.88,50.45,65.14,5.0,88.8,44.84,65.74,77.3,41.71,,,,,,,
IR-P-C-35006,JSS College of Pharmacy,Ooty,Tamil Nadu,68.99,7.0,83.34,33.64,90.34,73.91,84.38,65.6,9.0,77.54,28.53,90.2,73.65,83.81,63.17,8.0,75.7,24.45,84.2,73.49,89.43,57.34,10,66.54,31.24,58.14,66.69,97.12,52.83,10.0,58.78,31.95,54.39,86.27,61.08,63.29,9.0,48.44,78.46,50.9,85.42,48.0
IR-P-C-35007,JSS College of Pharmacy,Mysore,Karnataka,65.18,9.0,78.93,30.3,89.7,66.85,77.86,64.58,10.0,76.16,28.41,82.33,68.59,98.82,61.33,10.0,68.48,31.43,72.43,68.66,100.0,57.34,10,66.54,31.24,58.14,66.69,97.12,52.83,10.0,58.78,31.95,54.39,86.27,61.08,63.21,10.0,51.4,61.94,63.17,69.44,93.0
IR-P-C-7249,Manipal College of Pharmaceutical Sciences,MANIPAL,Karnataka,67.65,8.0,75.73,50.2,74.53,67.9,81.71,67.42,7.0,77.24,44.74,73.25,68.83,93.03,67.2,7.0,77.0,46.32,70.26,70.07,91.5,66.31,7,77.25,45.76,62.9,68.34,100.0,59.64,7.0,74.94,41.95,56.0,65.21,68.5,77.87,1.0,83.22,71.28,86.22,67.3,85.0
IR-P-N-14,National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,63.3,10.0,73.18,51.41,73.85,65.41,46.25,65.64,8.0,84.97,39.56,76.69,66.33,63.08,62.1,9.0,87.61,31.66,74.53,72.08,42.02,55.95,14,86.56,16.77,68.82,74.24,37.72,,,,,,,,,,,,,,
