Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,1.0,79.13,91.48,78.23,58.39,100.0,84.18,1.0,82.22,92.16,82.89,52.84,100.0,82.28,1.0,83.16,89.24,78.57,48.47,100.0,82.16,1.0,84.54,91.08,75.48,43.7,100.0,,,,,,,,91.81,1,94.45,96.12,100.0,67.18,100.0
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.99,2.0,71.19,44.96,95.07,73.36,67.88,70.16,2.0,74.98,44.8,100.0,75.1,67.24,68.68,2.0,76.75,41.85,99.87,75.87,55.27,67.57,2.0,74.71,42.6,99.12,79.32,46.28,61.53,2.0,62.11,33.96,98.71,82.4,47.27,86.45,3,89.45,84.33,100.0,73.57,98.0
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.02,3.0,64.5,45.0,100.0,53.13,58.57,63.15,3.0,70.91,44.89,85.65,58.76,53.99,64.55,3.0,69.72,46.48,96.37,57.01,47.28,63.52,3.0,65.15,50.76,95.42,53.13,43.62,58.92,3.0,47.85,49.96,94.36,62.97,44.01,81.22,7,70.28,81.11,92.6,87.75,99.0
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,62.06,4.0,66.2,43.92,91.72,60.98,45.77,61.53,7.0,59.26,48.58,91.03,61.66,47.99,60.87,5.0,62.26,47.1,91.54,60.14,37.39,53.38,14.0,45.47,50.26,86.81,46.72,26.3,48.9,16.0,36.34,44.1,95.76,39.02,17.15,,,,,,,
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.23,5.0,64.23,54.33,71.35,65.54,48.36,62.27,4.0,69.65,52.11,73.66,65.83,44.33,59.22,8.0,73.03,43.77,70.28,70.23,31.01,58.46,8.0,74.05,43.56,71.03,58.27,31.44,54.7,9.0,62.9,39.49,65.77,82.17,26.12,74.02,14A,74.39,69.03,100.0,74.02,80.0
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,60.74,6.0,66.44,43.43,86.67,72.35,32.17,61.07,10.0,71.35,38.3,88.52,73.05,31.6,58.07,12.0,73.74,32.04,88.53,71.97,14.26,56.18,12.0,72.33,33.21,82.27,68.86,11.76,51.75,12.0,58.98,27.99,81.63,83.55,9.73,51.51,83,24.13,53.54,100.0,76.4,64.0
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,60.58,7.0,67.68,48.17,76.05,65.25,40.93,61.51,8.0,75.44,42.62,75.36,66.21,43.95,58.5,9.0,77.91,38.31,69.71,66.78,30.21,57.37,11.0,76.05,44.15,61.29,64.23,26.3,,,,,,,,65.74,32,57.19,61.6,94.55,65.23,94.0
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.33,8.0,51.7,51.72,87.77,50.16,67.31,61.99,5.0,53.38,52.96,90.39,48.67,71.44,60.53,6.0,54.4,54.89,90.28,44.95,51.83,59.68,6.0,57.08,57.07,91.39,36.0,35.5,57.32,5.0,48.64,54.09,91.42,53.37,28.81,,,,,,,
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,59.71,9.0,69.59,40.74,77.44,58.72,52.49,61.7,6.0,71.15,42.93,81.18,54.01,58.32,61.85,4.0,74.81,43.78,83.64,58.77,36.71,60.54,5.0,74.36,45.34,84.45,55.71,21.66,56.3,7.0,57.3,42.77,78.79,78.13,27.06,85.45,4,74.49,89.22,86.71,88.83,98.0
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.97,10.0,69.06,40.86,80.06,56.93,42.9,54.3,17.0,70.97,40.78,55.7,57.39,38.99,58.36,11.0,76.69,35.38,85.67,57.56,18.46,57.78,10.0,70.28,36.87,90.56,49.03,26.3,52.74,11.0,58.56,36.2,87.43,51.55,16.62,76.62,10,66.73,84.81,84.96,65.23,86.0
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.34,11.0,62.95,42.77,86.96,50.92,41.49,61.13,9.0,67.66,45.48,85.36,56.22,44.99,58.4,10.0,69.26,44.42,86.04,54.34,16.55,58.24,9.0,70.7,43.64,84.55,55.29,15.04,52.81,10.0,56.39,35.03,85.13,72.26,11.2,,,,,,,
